time,value
1508802346.0,1000.0
1508888746.0,1085.86675702
1508902748.0,1061.15416006
1508935056.0,1067.08496584
1508935652.0,1066.96588079
1508983039.0,1118.90267122
1509070186.0,1074.76188932
1509157748.0,1065.78014333
1509245254.0,1074.37723628
1509328112.0,1092.46640105
1509423633.0,1163.95480594
1509505853.0,1194.00774099
1509589731.0,1045.79351422
1509673936.0,972.937301985
1509774372.0,1027.15388557
1509848167.0,1054.26985092
1509850936.0,1059.1135148
1509936071.0,1063.11461399
1510029932.0,1075.96779882
1510109921.0,1040.30149774
1510195834.0,1182.98266512
1510283527.0,1258.88591735
