Currency,Available,Balance,CryptoAddress,Pending
ADA,2175.63291139,2175.63291139,,0.0
ADX,75.88858635,75.88858635,,0.0
EMC2,839.09682668,839.09682668,,0.0
IOP,25.75806773,25.75806773,,0.0
KMD,36.40262628,36.40262628,,0.0
MCO,7.81031074,7.81031074,,0.0
MONA,22.08953625,22.08953625,,0.0
NAV,80.92043314,80.92043314,,0.0
OK,343.75,343.75,,0.0
RISE,265.23919753,265.23919753,,0.0
SYS,359.32055749,359.32055749,,0.0
TKN,49.66050274,49.66050274,,0.0
TRIG,96.83098591,96.83098591,,0.0
VTC,22.61513157,22.61513157,,0.0
XLM,1698.9291598,1698.9291598,,0.0
XVG,12731.4814815,12731.4814815,,0.0
